"Label","Unique Pageviews","Metadata: url","Metadata: segment",,,,
"Others",632207,,,,,,
"index.php/ - Others",521736,,,,,,
"index",289443,"http://siebenlinden.de/","pageUrl==http%3A%2F%2Fsiebenlinden.de%2F",,,,
"mail/ - Others",200790,,,,,,
"index.php?id=3",26788,"http://siebenlinden.de/index.php?id=3","pageUrl==http%3A%2F%2Fsiebenlinden.de%2Findex.php%3Fid%3D3",,,,
"index.php?id=4",22875,"http://siebenlinden.de/index.php?id=4","pageUrl==http%3A%2F%2Fsiebenlinden.de%2Findex.php%3Fid%3D4",,,,
"index.php?id=92",20923,"http://siebenlinden.de/index.php?id=92","pageUrl==http%3A%2F%2Fsiebenlinden.de%2Findex.php%3Fid%3D92",,,,
"index.php?id=22",20071,"http://siebenlinden.de/index.php?id=22","pageUrl==http%3A%2F%2Fsiebenlinden.de%2Findex.php%3Fid%3D22",,,,
"index.php?id=85",19934,"http://siebenlinden.de/index.php?id=85","pageUrl==http%3A%2F%2Fsiebenlinden.de%2Findex.php%3Fid%3D85",,,,
"index.php?id=2",14766,"http://siebenlinden.de/index.php?id=2","pageUrl==http%3A%2F%2Fsiebenlinden.de%2Findex.php%3Fid%3D2",,,,
"fileadmin/images/pages/oekologie/Mitarbeit-Jule",14286,"http://siebenlinden.de/fileadmin/images/pages/oekologie/Mitarbeit-Jule","pageUrl==http%3A%2F%2Fsiebenlinden.de%2Ffileadmin%2Fimages%2Fpages%2Foekologie%2FMitarbeit-Jule",,,,
"index.php?id=25",13108,"http://siebenlinden.de/index.php?id=25","pageUrl==http%3A%2F%2Fsiebenlinden.de%2Findex.php%3Fid%3D25",,,,
"index.php?id=1&L=2",12884,"http://siebenlinden.de/index.php?id=1&L=2","pageUrl==http%3A%2F%2Fsiebenlinden.de%2Findex.php%3Fid%3D1%26L%3D2",,,,
"fileadmin/images/banner/banner_25",12880,"http://siebenlinden.de/fileadmin/images/banner/banner_25","pageUrl==http%3A%2F%2Fsiebenlinden.de%2Ffileadmin%2Fimages%2Fbanner%2Fbanner_25",,,,
"index.php?id=50",11952,"http://siebenlinden.de/index.php?id=50","pageUrl==http%3A%2F%2Fsiebenlinden.de%2Findex.php%3Fid%3D50",,,,
"index.php/combined/css/d92b8f41be9260abc5a9e97323c97ce2",11836,"http://siebenlinden.de/index.php/combined/css/d92b8f41be9260abc5a9e97323c97ce2","pageUrl==http%3A%2F%2Fsiebenlinden.de%2Findex.php%2Fcombined%2Fcss%2Fd92b8f41be9260abc5a9e97323c97ce2",,,,
"index.php?id=84",11788,"http://siebenlinden.de/index.php?id=84","pageUrl==http%3A%2F%2Fsiebenlinden.de%2Findex.php%3Fid%3D84",,,,
"index.php/combined/javascript/22998e6b9a2ac1dd3194676661d94c14",11505,"http://siebenlinden.de/index.php/combined/javascript/22998e6b9a2ac1dd3194676661d94c14","pageUrl==http%3A%2F%2Fsiebenlinden.de%2Findex.php%2Fcombined%2Fjavascript%2F22998e6b9a2ac1dd3194676661d94c14",,,,
